episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-225.0,150,0,0,3,0,0.2
2,-175.0,150,0,0,1,0,0.199
3,-152.0,150,0,0,0,1,0.19800500000000001
4,-183.0,150,0,0,1,4,0.197014975
5,-200.0,150,0,0,2,0,0.19602990012500002
6,-179.0,150,0,0,1,2,0.19504975062437502
7,-200.0,150,0,0,2,0,0.19407450187125314
8,-200.0,150,0,0,2,0,0.19310412936189686
9,-200.0,150,0,0,2,0,0.19213860871508737
10,-177.0,150,0,0,1,1,0.19117791567151193
11,-175.0,150,0,0,1,0,0.19022202609315436
12,-175.0,150,0,0,1,0,0.18927091596268858
13,-150.0,150,0,0,0,0,0.18832456138287512
14,-250.0,150,0,0,4,0,0.18738293857596075
15,-202.0,150,0,0,2,1,0.18644602388308096
16,-229.0,150,0,0,3,2,0.18551379376366556
17,-154.0,150,0,0,0,2,0.18458622479484724
18,-189.0,150,0,0,1,7,0.183663293670873
19,-175.0,150,0,0,1,0,0.18274497720251864
20,-175.0,150,0,0,1,0,0.18183125231650604
21,-62.0,68,1,1,0,2,0.18092209605492351
22,-175.0,150,0,0,1,0,0.1800174855746489
23,-133.0,139,1,1,0,2,0.17911739814677563
24,-116.0,93,1,1,1,4,0.17822181115604174
25,-175.0,150,0,0,1,0,0.17733070210026153
26,-177.0,150,0,0,1,1,0.17644404858976023
27,-84.0,67,1,1,1,1,0.17556182834681144
28,-67.0,75,1,1,0,1,0.1746840192050774
29,-225.0,150,0,0,3,0,0.173810599109052
30,-137.0,118,1,1,1,2,0.17294154611350673
31,-200.0,150,0,0,2,0,0.1720768383829392
32,-68.0,76,1,1,0,1,0.1712164541910245
33,-53.0,59,1,1,0,2,0.17036037192006936
34,-175.0,150,0,0,1,0,0.16950857006046902
35,-63.0,63,1,1,0,5,0.16866102721016668
36,-150.0,150,0,0,0,0,0.16781772207411585
37,-175.0,150,0,0,1,0,0.16697863346374528
38,-54.0,60,1,1,0,2,0.16614374029642656
39,-93.0,101,1,1,0,1,0.16531302159494443
40,-118.0,120,1,1,0,4,0.16448645648696972
41,-175.0,150,0,0,1,0,0.16366402420453488
42,-85.0,89,1,1,0,3,0.1628457040835122
43,-156.0,150,0,0,0,3,0.16203147556309463
44,-175.0,150,0,0,1,0,0.16122131818527916
45,-202.0,150,0,0,2,1,0.16041521159435276
46,-54.0,58,1,1,0,3,0.159613135536381
47,-227.0,150,0,0,3,1,0.15881506985869911
48,-104.0,110,1,1,0,2,0.15802099450940563
49,-123.0,129,1,1,0,2,0.1572308895368586
50,-175.0,150,0,0,1,0,0.1564447350891743
51,-150.0,127,1,1,1,4,0.15566251141372844
52,-150.0,150,0,0,0,0,0.1548841988566598
53,-175.0,150,0,0,1,0,0.1541097778623765
54,-106.0,106,1,1,0,5,0.15333922897306462
55,-150.0,150,0,0,0,0,0.1525725328281993
56,-57.0,63,1,1,0,2,0.1518096701640583
57,-150.0,150,0,0,0,0,0.151050621813238
58,-229.0,150,0,0,3,2,0.15029536870417182
59,-127.0,131,1,1,0,3,0.14954389186065095
60,-157.0,136,1,1,1,3,0.1487961724013477
61,-88.0,88,1,1,0,5,0.14805219153934096
62,-11.0,19,1,1,0,1,0.14731193058164427
63,-177.0,150,0,0,1,1,0.14657537092873604
64,-83.0,91,1,1,0,1,0.14584249407409236
65,-48.0,54,1,1,0,2,0.1451132816037219
