episode,reward,length,success,cliff_hits,lure_visits,avg_td_error,epsilon
1,376.0,200,0,6,115,8.409275425482164,0.15
2,724.0,200,0,6,173,16.797558014335827,0.14925
3,211.0,67,1,2,50,21.509005778375133,0.14850375
4,700.0,200,0,6,169,18.641981875657095,0.14776123124999999
5,-119.0,200,0,27,99,26.9134122988303,0.14702242509375
6,265.0,200,0,3,87,18.062445522696905,0.14628731296828124
7,210.0,200,0,4,81,10.295981308770639,0.14555587640343984
8,370.0,200,0,0,95,8.358109627972924,0.14482809702142263
9,548.0,200,0,8,150,17.367989776638982,0.14410395653631553
10,565.0,200,0,9,156,16.38291116024751,0.14338343675363394
11,536.0,200,0,8,148,18.898373406204524,0.14266651956986576
12,245.0,200,0,5,90,14.32840589006526,0.14195318697201642
13,134.0,200,0,8,81,18.179789857374548,0.14124342103715634
14,-11.0,200,0,9,60,8.560196178960165,0.14053720393197056
15,161.0,200,0,11,95,9.100822139036387,0.1398345179123107
16,434.0,200,0,8,131,12.784662878890915,0.13913534532274913
17,26.0,200,0,8,63,16.630378597281847,0.13843966859613538
18,-10.0,200,0,8,57,10.243377906717466,0.1377474702531547
19,45.0,200,0,7,63,7.301167912634354,0.13705873290188894
20,-23.0,200,0,9,58,7.06941833556032,0.1363734392373795
21,44.0,200,0,8,66,14.668173848867031,0.1356915720411926
22,502.0,200,0,6,136,11.628594094508752,0.13501311418098663
23,173.0,200,0,5,78,13.674866582694277,0.1343380486100817
24,-163.0,200,0,5,22,12.596897746674163,0.13366635836703128
25,-119.0,200,0,9,42,8.591500523071463,0.13299802657519613
26,143.0,200,0,5,73,6.851287637386374,0.13233303644232014
27,364.0,200,0,6,113,10.617388823264442,0.13167137126010853
28,357.0,200,0,7,115,9.541811759106851,0.13101301440380797
29,386.0,200,0,2,104,8.35068329691512,0.13035794933178893
30,230.0,200,0,2,78,6.8098966772275755,0.12970615958513
31,87.0,200,0,7,70,5.667838070794812,0.12905762878720434
32,188.0,200,0,2,71,6.2385121645451,0.1284123406432683
33,311.0,200,0,5,101,6.171019411577056,0.12777027894005197
34,536.0,200,0,8,148,9.881387867819631,0.1271314275453517
35,386.0,200,0,8,123,16.595635522412437,0.12649577040762494
36,547.0,200,0,3,134,13.695397171584975,0.12586329155558681
37,714.0,200,0,4,165,8.602870622780284,0.12523397509780887
38,-114.0,200,0,4,27,13.50957331432125,0.12460780522231983
39,666.0,200,0,4,157,12.94008323801775,0.12398476619620823
40,594.0,200,0,4,145,13.862674181349972,0.12336484236522718
41,481.0,200,0,9,142,10.959431794610515,0.12274801815340104
42,423.0,200,0,7,126,11.697049792556635,0.12213427806263404
43,726.0,200,0,4,167,5.70709890970928,0.12152360667232087
44,547.0,200,0,3,134,10.155598678463498,0.12091598863895926
45,37.0,200,0,9,68,14.526537886571882,0.12031140869576447
46,-53.0,200,0,9,53,10.754260817984019,0.11970985165228565
47,20.0,200,0,8,62,8.743713618874793,0.11911130239402422
48,14.0,200,0,8,61,7.733722398671871,0.1185157458820541
49,-27.0,200,0,7,51,8.215923349357405,0.11792316715264384
50,-74.0,200,0,6,40,14.599680260010407,0.11733355131688061
51,9.0,200,0,7,57,8.613398710689744,0.11674688356029621
52,44.0,200,0,2,47,9.02029088106275,0.11616314914249473
53,397.0,200,0,9,128,7.287417604242046,0.11558233339678226
54,254.0,200,0,2,82,6.025100898387145,0.11500442172979834
