episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-66.98608197358163,150,0,0,2,0,0.2
2,-61.00441919191913,150,0,0,1,0,0.199
3,0.42191142191142395,150,0,0,0,0,0.19800500000000001
4,-52.44454156954165,150,0,0,1,0,0.197014975
5,-35.13669386169403,150,0,0,1,0,0.19602990012500002
6,8.34983488733489,150,0,0,0,0,0.19504975062437502
7,33.447299922299905,150,0,0,0,0,0.19407450187125314
8,30.575155400155392,150,0,0,0,0,0.19310412936189686
9,-14.461956099456168,150,0,0,1,0,0.19213860871508737
10,35.781769619269575,150,0,0,0,0,0.19117791567151193
11,9.918424630924624,150,0,0,0,0,0.19022202609315436
12,-0.6689296814297707,150,0,0,1,0,0.18927091596268858
13,34.324932012431965,150,0,0,0,0,0.18832456138287512
14,44.36076146076138,150,0,0,0,0,0.18738293857596075
15,38.29808663558657,150,0,0,0,0,0.18644602388308096
16,41.603243978243896,150,0,0,0,0,0.18551379376366556
17,35.824902874902804,150,0,0,0,0,0.18458622479484724
18,33.21093628593627,150,0,0,0,0,0.183663293670873
19,7.1233682983682325,150,0,0,1,0,0.18274497720251864
20,31.850184537684505,150,0,0,0,0,0.18183125231650604
21,19.243842268842226,150,0,0,1,0,0.18092209605492351
22,48.299397824397715,150,0,0,0,0,0.1800174855746489
23,45.047047397047294,150,0,0,0,0,0.17911739814677563
24,50.91093628593616,150,0,0,0,0,0.17822181115604174
25,49.31093628593618,150,0,0,0,0,0.17733070210026153
26,30.82076534576531,150,0,0,0,0,0.17644404858976023
27,40.47760295260289,150,0,0,0,0,0.17556182834681144
28,45.257731157731044,150,0,0,0,0,0.1746840192050774
29,48.25538073038064,150,0,0,0,0,0.173810599109052
30,40.34174436674429,150,0,0,0,0,0.17294154611350673
31,5.088014763014731,150,0,0,1,0,0.1720768383829392
32,43.96285936285928,150,0,0,0,0,0.1712164541910245
33,49.34426961926951,150,0,0,0,0,0.17036037192006936
34,45.64426961926953,150,0,0,0,0,0.16950857006046902
35,48.077602952602845,150,0,0,0,0,0.16866102721016668
36,30.310508935508928,150,0,0,0,0,0.16781772207411585
37,45.78063325563316,150,0,0,0,0,0.16697863346374528
38,33.17760295260295,150,0,0,0,0,0.16614374029642656
39,19.910936285936277,150,0,0,0,0,0.16531302159494443
40,25.797377622377617,150,0,0,0,0,0.16448645648696972
41,39.62204739704732,150,0,0,0,0,0.16366402420453488
42,36.380633255633214,150,0,0,0,0,0.1628457040835122
43,34.03576146076142,150,0,0,0,0,0.16203147556309463
44,26.130633255633334,150,0,0,0,0,0.16122131818527916
45,41.7234362859362,150,0,0,0,0,0.16041521159435276
46,49.42204739704728,150,0,0,0,0,0.159613135536381
47,46.42162004661995,150,0,0,0,0,0.15881506985869911
48,46.84426961926952,150,0,0,0,0,0.15802099450940563
49,41.183411033410955,150,0,0,0,0,0.1572308895368586
50,39.232731157731095,150,0,0,0,0,0.1564447350891743
51,49.447299922299806,150,0,0,0,0,0.15566251141372844
52,47.030633255633155,150,0,0,0,0,0.1548841988566598
53,51.377602952602835,150,0,0,0,0,0.1541097778623765
54,49.18273115773105,150,0,0,0,0,0.15333922897306462
55,45.785936285936174,150,0,0,0,0,0.1525725328281993
56,42.34426961926954,150,0,0,0,0,0.1518096701640583
57,39.530633255633205,150,0,0,0,0,0.151050621813238
58,45.81093628593619,150,0,0,0,0,0.15029536870417182
59,36.11093628593626,150,0,0,0,0,0.14954389186065095
60,38.477602952602886,150,0,0,0,0,0.1487961724013477
61,38.0857614607614,150,0,0,0,0,0.14805219153934096
62,34.06396658896658,150,0,0,0,0,0.14731193058164427
63,21.766064491064505,150,0,0,0,0,0.14657537092873604
64,31.144269619269576,150,0,0,0,0,0.14584249407409236
65,50.030633255633134,150,0,0,0,0,0.1451132816037219
66,38.61093628593623,150,0,0,0,0,0.1443877151957033
67,42.69939782439774,150,0,0,0,0,0.14366577661972477
68,31.005380730380676,150,0,0,0,4,0.14294744773662615
69,36.497299922299895,150,0,0,0,0,0.14223271049794303
70,44.455380730380625,150,0,0,0,0,0.14152154694545332
71,34.37810800310798,150,0,0,0,0,0.14081393921072605
72,41.766064491064405,150,0,0,0,0,0.1401098695146724
73,51.21093628593616,150,0,0,0,0,0.13940932016709906
74,50.744269619269495,150,0,0,0,0,0.13871227356626356
75,48.54939782439771,150,0,0,0,0,0.13801871219843223
76,49.77717560217549,150,0,0,0,0,0.13732861863744006
77,52.1442696192695,150,0,0,0,0,0.13664197554425286
78,48.283663558663456,150,0,0,0,0,0.1359587656665316
79,38.8776029526029,150,0,0,0,0,0.13527897183819892
80,48.97760295260285,150,0,0,0,0,0.13460257697900793
81,48.63063325563315,150,0,0,0,0,0.13392956409411289
82,50.27760295260284,150,0,0,0,0,0.1332599162736423
83,50.24426961926951,150,0,0,0,0,0.1325936166922741
84,48.988966588966484,150,0,0,0,0,0.13193064860881273
85,35.77760295260292,150,0,0,0,0,0.13127099536576867
86,45.4919968919968,150,0,0,0,0,0.13061464038893983
87,52.77760295260283,150,0,0,0,0,0.12996156718699514
88,43.93273115773106,150,0,0,0,0,0.12931175935106015
89,33.066064491064495,150,0,0,0,0,0.12866520055430486
90,50.11093628593617,150,0,0,0,0,0.12802187455153333
91,42.928108003107916,150,0,0,0,0,0.12738176517877567
92,35.485936285936255,150,0,0,0,0,0.1267448563528818
93,24.885936285936246,150,0,0,0,0,0.12611113207111738
94,51.844269619269504,150,0,0,0,0,0.1254805764107618
95,49.17507770007759,150,0,0,0,0,0.12485317352870799
96,39.130633255633214,150,0,0,0,0,0.12422890766106445
97,48.0211926961926,150,0,0,0,0,0.12360776312275913
98,36.76371406371402,150,0,0,0,0,0.12298972430714533
99,31.85676961926959,150,0,0,0,0,0.1223747756856096
100,39.9359362859362,150,0,0,0,0,0.12176290180718155
101,32.94729992229991,150,0,0,0,0,0.12115408729814564
102,49.81093628593618,150,0,0,0,0,0.12054831686165492
103,50.84729992229981,150,0,0,0,0,0.11994557527734664
104,48.419269619269514,150,0,0,0,0,0.11934584740095991
105,34.05129176379171,150,0,0,0,0,0.11874911816395511
106,38.27760295260291,150,0,0,0,0,0.11815537257313534
107,35.31093628593626,150,0,0,0,0,0.11756459571026966
108,46.477602952602844,150,0,0,0,0,0.1169767727317183
109,51.21093628593618,150,0,0,0,0,0.1163918888680597
110,44.677602952602854,150,0,0,0,0,0.11580992942371941
111,48.24426961926951,150,0,0,0,0,0.11523087977660082
112,40.81093628593622,150,0,0,0,0,0.11465472537771781
113,51.39704739704728,150,0,0,0,0,0.11408145175082922
114,43.04426961926954,150,0,0,0,0,0.11351104449207507
115,51.8442696192695,150,0,0,0,0,0.11294348926961469
116,50.04426961926951,150,0,0,0,0,0.11237877182326661
117,36.93038073038068,150,0,0,0,0,0.11181687796415028
118,49.11093628593618,150,0,0,0,0,0.11125779357432954
119,50.70538073038062,150,0,0,0,0,0.11070150460645789
120,48.57760295260285,150,0,0,0,0,0.1101479970834256
121,52.5442696192695,150,0,0,0,0,0.10959725709800847
122,52.310936285936165,150,0,0,0,0,0.10904927081251842
123,49.75260295260284,150,0,0,0,0,0.10850402445845582
124,41.07760295260289,150,0,0,0,0,0.10796150433616354
125,44.61093628593619,150,0,0,0,0,0.10742169681448273
126,42.6720473970473,150,0,0,0,0,0.10688458833041031
127,51.877602952602835,150,0,0,0,0,0.10635016538875826
128,51.86371406371394,150,0,0,0,0,0.10581841456181447
129,50.632731157731044,150,0,0,0,0,0.1052893224890054
130,46.13038073038063,150,0,0,0,0,0.10476287587656037
131,51.4442696192695,150,0,0,0,0,0.10423906149717757
132,34.56093628593626,150,0,0,0,0,0.10371786618969168
133,46.64426961926953,150,0,0,0,0,0.10319927685874322
134,50.9192696192695,150,0,0,0,0,0.10268328047444951
135,45.37760295260286,150,0,0,0,0,0.10216986407207726
136,44.85260295260285,150,0,0,0,0,0.10165901475171688
137,32.35563325563325,150,0,0,0,0,0.10115071967795829
138,49.948436285936175,150,0,0,0,0,0.10064496607956849
139,33.2970473970474,150,0,0,0,0,0.10014174124917065
140,49.05260295260285,150,0,0,0,0,0.09964103254292479
141,50.05538073038062,150,0,0,0,0,0.09914282738021017
142,51.910936285936174,150,0,0,0,0,0.09864711324330912
143,47.76285936285927,150,0,0,0,0,0.09815387767709258
144,43.27760295260288,150,0,0,0,0,0.09766310828870711
145,38.130633255633214,150,0,0,0,0,0.09717479274726358
146,40.36396658896651,150,0,0,0,0,0.09668891878352726
147,33.56649184149183,150,0,0,0,0,0.09620547418960962
148,19.719269619269603,150,0,0,0,0,0.09572444681866157
149,41.8109362859362,150,0,0,0,0,0.09524582458456826
150,50.977602952602844,150,0,0,0,0,0.09476959546164541
151,49.844269619269504,150,0,0,0,0,0.09429574748433718
152,52.310936285936165,150,0,0,0,0,0.09382426874691549
153,52.5442696192695,150,0,0,0,0,0.09335514740318092
154,32.69199689199688,150,0,0,0,0,0.09288837166616501
155,39.77760295260288,150,0,0,0,0,0.09242392980783419
156,53.244269619269495,150,0,0,0,0,0.09196181015879502
157,41.38176961926953,150,0,0,0,0,0.09150200110800105
158,50.21093628593616,150,0,0,0,0,0.09104449110246104
159,51.566064491064374,150,0,0,0,0,0.09058926864694875
160,43.0109362859362,150,0,0,0,0,0.090136322303714
161,50.67760295260284,150,0,0,0,0,0.08968564069219544
162,53.01093628593616,150,0,0,0,0,0.08923721248873447
163,44.61093628593619,150,0,0,0,0,0.08879102642629079
164,51.377602952602835,150,0,0,0,0,0.08834707129415934
165,42.11093628593621,150,0,0,0,0,0.08790533593768854
166,49.699397824397714,150,0,0,0,0,0.0874658092580001
167,48.41093628593618,150,0,0,0,0,0.0870284802117101
168,50.755380730380615,150,0,0,0,0,0.08659333781065155
169,41.94426961926954,150,0,0,0,0,0.0861603711215983
170,46.485936285936184,150,0,0,0,0,0.0857295692659903
171,36.577602952602916,150,0,0,0,0,0.08530092141966035
172,38.610936285936205,150,0,0,0,0,0.08487441681256205
173,48.081769619269515,150,0,0,0,0,0.08445004472849925
174,48.37760295260285,150,0,0,0,0,0.08402779450485676
175,52.31093628593617,150,0,0,0,0,0.08360765553233247
176,47.94426961926951,150,0,0,0,0,0.0831896172546708
177,38.08896658896655,150,0,0,0,0,0.08277366916839746
178,48.81093628593617,150,0,0,0,0,0.08235980082255547
179,37.44426961926957,150,0,0,0,0,0.08194800181844268
180,41.31093628593622,150,0,0,0,0,0.08153826180935046
181,52.310936285936165,150,0,0,0,0,0.08113057050030371
182,50.39939782439771,150,0,0,0,0,0.0807249176478022
183,51.313966588966466,150,0,0,0,0,0.08032129305956318
184,32.75260295260292,150,0,0,0,0,0.07991968659426536
185,52.37760295260283,150,0,0,0,0,0.07952008816129404
186,44.344269619269525,150,0,0,0,0,0.07912248772048756
187,51.1442696192695,150,0,0,0,0,0.07872687528188513
188,40.32204739704734,150,0,0,0,0,0.0783332409054757
189,39.8526029526029,150,0,0,0,0,0.07794157470094833
190,37.04426961926958,150,0,0,0,0,0.07755186682744358
191,37.04426961926958,150,0,0,0,0,0.07716410749330636
192,44.230380730380645,150,0,0,0,0,0.07677828695583983
193,51.64426961926951,150,0,0,0,0,0.07639439552106063
194,35.22204739704737,150,0,0,0,0,0.07601242354345533
195,17.86371406371406,150,0,0,0,0,0.07563236142573805
196,26.027602952602944,150,0,0,0,0,0.07525419961860937
197,53.2442696192695,150,0,0,0,0,0.07487792862051632
198,53.47760295260283,150,0,0,0,0,0.07450353897741373
199,52.77760295260283,150,0,0,0,0,0.07413102128252666
200,50.74426961926951,150,0,0,0,0,0.07376036617611402
201,41.71093628593622,150,0,0,0,0,0.07339156434523345
202,48.11093628593618,150,0,0,0,0,0.07302460652350727
203,50.380633255633136,150,0,0,0,0,0.07265948349088973
204,44.64452214452205,150,0,0,0,0,0.07229618607343528
205,43.644269619269515,150,0,0,0,0,0.0719347051430681
