episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-35.37646658896672,150,0,0,1,0,0.2
2,-45.780701243201314,150,0,0,1,0,0.199
3,-17.864151126651198,150,0,0,1,0,0.19800500000000001
4,31.758411033411008,150,0,0,0,0,0.197014975
5,-23.231847319347427,150,0,0,1,0,0.19602990012500002
6,21.295639083139072,150,0,0,0,0,0.19504975062437502
7,31.15773115773115,150,0,0,0,0,0.19407450187125314
8,-4.252845765345801,150,0,0,1,0,0.19310412936189686
9,14.77559246309246,150,0,0,0,0,0.19213860871508737
10,23.234401709401705,150,0,0,0,0,0.19117791567151193
11,-14.308352758352845,150,0,0,1,0,0.19022202609315436
12,48.13273115773105,150,0,0,0,0,0.18927091596268858
13,17.04069541569542,150,0,0,0,0,0.18832456138287512
14,41.43972416472409,150,0,0,0,0,0.18738293857596075
15,44.490637140637055,150,0,0,0,0,0.18644602388308096
16,10.405205905205857,150,0,0,1,0,0.18551379376366556
17,44.55869269619261,150,0,0,0,0,0.18458622479484724
18,44.899397824397745,150,0,0,0,0,0.183663293670873
19,47.197125097124996,150,0,0,0,0,0.18274497720251864
20,41.85452602952595,150,0,0,0,0,0.18183125231650604
21,2.999834887334819,150,0,0,1,0,0.18092209605492351
22,46.67760295260284,150,0,0,0,0,0.1800174855746489
23,45.51478243978235,150,0,0,0,0,0.17911739814677563
24,31.017346542346516,150,0,0,0,0,0.17822181115604174
25,48.323436285936175,150,0,0,0,0,0.17733070210026153
26,46.58366355866346,150,0,0,0,0,0.17644404858976023
27,47.644269619269515,150,0,0,0,0,0.17556182834681144
28,29.423416860916838,150,0,0,0,0,0.1746840192050774
29,43.7720473970473,150,0,0,0,0,0.173810599109052
30,43.61510295260288,150,0,0,0,0,0.17294154611350673
31,47.81606449106439,150,0,0,0,0,0.1720768383829392
32,50.210936285936164,150,0,0,0,0,0.1712164541910245
33,36.1806332556332,150,0,0,0,0,0.17036037192006936
34,40.66510295260288,150,0,0,0,0,0.16950857006046902
35,27.17725330225327,150,0,0,0,0,0.16866102721016668
36,40.10538073038065,150,0,0,0,0,0.16781772207411585
37,11.7043512043512,150,0,0,1,0,0.16697863346374528
38,50.67760295260283,150,0,0,0,0,0.16614374029642656
39,41.96467560217553,150,0,0,0,0,0.16531302159494443
40,5.8834693084692535,150,0,0,1,0,0.16448645648696972
41,39.3639665889665,150,0,0,0,0,0.16366402420453488
42,47.7750777000776,150,0,0,0,0,0.1628457040835122
43,44.05452602952594,150,0,0,0,0,0.16203147556309463
44,41.41093628593622,150,0,0,0,0,0.16122131818527916
45,29.345872183372155,150,0,0,0,0,0.16041521159435276
46,41.010936285936225,150,0,0,0,0,0.159613135536381
47,48.51396658896649,150,0,0,0,0,0.15881506985869911
48,43.74426961926953,150,0,0,0,0,0.15802099450940563
49,38.155633255633205,150,0,0,0,0,0.1572308895368586
50,48.019269619269515,150,0,0,0,0,0.1564447350891743
51,49.51926961926951,150,0,0,0,0,0.15566251141372844
52,32.46421911421908,150,0,0,0,0,0.1548841988566598
53,48.605380730380624,150,0,0,0,0,0.1541097778623765
54,51.61093628593617,150,0,0,0,0,0.15333922897306462
55,44.6160644910644,150,0,0,0,0,0.1525725328281993
56,53.244269619269495,150,0,0,0,0,0.1518096701640583
57,50.444269619269505,150,0,0,0,0,0.151050621813238
58,48.41093628593619,150,0,0,0,0,0.15029536870417182
59,49.03366355866345,150,0,0,0,0,0.14954389186065095
60,47.40033022533012,150,0,0,0,0,0.1487961724013477
61,50.44426961926951,150,0,0,0,0,0.14805219153934096
62,35.641491841491806,150,0,0,0,0,0.14731193058164427
63,47.54426961926952,150,0,0,0,0,0.14657537092873604
64,35.47760295260293,150,0,0,0,0,0.14584249407409236
65,39.844269619269575,150,0,0,0,0,0.1451132816037219
66,51.61093628593616,150,0,0,0,0,0.1443877151957033
67,47.31093628593619,150,0,0,0,0,0.14366577661972477
68,48.84426961926951,150,0,0,0,0,0.14294744773662615
69,40.68063325563318,150,0,0,0,0,0.14223271049794303
70,48.885936285936175,150,0,0,0,0,0.14152154694545332
71,50.730633255633144,150,0,0,0,0,0.14081393921072605
72,42.98593628593622,150,0,0,0,0,0.1401098695146724
73,44.11093628593619,150,0,0,0,0,0.13940932016709906
74,50.910936285936174,150,0,0,0,0,0.13871227356626356
75,50.977602952602844,150,0,0,0,0,0.13801871219843223
76,45.14426961926952,150,0,0,0,0,0.13732861863744006
77,51.61093628593616,150,0,0,0,0,0.13664197554425286
78,48.41093628593618,150,0,0,0,0,0.1359587656665316
79,40.777602952602884,150,0,0,0,0,0.13527897183819892
80,48.87760295260285,150,0,0,0,0,0.13460257697900793
81,47.73853923853914,150,0,0,0,0,0.13392956409411289
82,37.04426961926958,150,0,0,0,0,0.1332599162736423
83,34.58369269619265,150,0,0,0,0,0.1325936166922741
84,50.21093628593617,150,0,0,0,0,0.13193064860881273
85,51.91093628593617,150,0,0,0,0,0.13127099536576867
86,51.144269619269494,150,0,0,0,0,0.13061464038893983
87,52.07760295260283,150,0,0,0,0,0.12996156718699514
88,41.877602952602885,150,0,0,0,0,0.12931175935106015
89,46.31093628593619,150,0,0,0,0,0.12866520055430486
90,46.59729992229982,150,0,0,0,0,0.12802187455153333
91,52.310936285936165,150,0,0,0,0,0.12738176517877567
92,50.31606449106438,150,0,0,0,0,0.1267448563528818
93,53.01093628593617,150,0,0,0,0,0.12611113207111738
94,51.67760295260284,150,0,0,0,0,0.1254805764107618
95,47.51093628593618,150,0,0,0,0,0.12485317352870799
96,48.48871406371398,150,0,0,0,0,0.12422890766106445
97,43.81884226884218,150,0,0,0,0,0.12360776312275913
98,37.444269619269576,150,0,0,0,0,0.12298972430714533
99,51.377602952602835,150,0,0,0,0,0.1223747756856096
100,52.310936285936165,150,0,0,0,0,0.12176290180718155
101,46.47760295260284,150,0,0,0,0,0.12115408729814564
102,46.77760295260285,150,0,0,0,0,0.12054831686165492
103,41.07760295260289,150,0,0,0,0,0.11994557527734664
104,37.68593628593625,150,0,0,0,0,0.11934584740095991
105,32.14982517482516,150,0,0,0,0,0.11874911816395511
106,42.26699689199681,150,0,0,0,0,0.11815537257313534
107,52.0192696192695,150,0,0,0,0,0.11756459571026966
108,41.183663558663476,150,0,0,0,0,0.1169767727317183
109,52.777602952602834,150,0,0,0,0,0.1163918888680597
110,50.56396658896648,150,0,0,0,0,0.11580992942371941
111,51.14426961926951,150,0,0,0,0,0.11523087977660082
112,49.333663558663446,150,0,0,0,0,0.11465472537771781
113,39.99060800310793,150,0,0,0,0,0.11408145175082922
114,51.01606449106437,150,0,0,0,0,0.11351104449207507
115,39.85538073038067,150,0,0,0,0,0.11294348926961469
116,35.89704739704735,150,0,0,0,0,0.11237877182326661
117,50.977602952602844,150,0,0,0,0,0.11181687796415028
118,36.98593628593624,150,0,0,0,0,0.11125779357432954
119,45.44106449106438,150,0,0,0,0,0.11070150460645789
120,50.27760295260284,150,0,0,0,0,0.1101479970834256
121,46.61093628593618,150,0,0,0,0,0.10959725709800847
122,34.0503302253302,150,0,0,0,0,0.10904927081251842
123,45.247299922299824,150,0,0,0,0,0.10850402445845582
124,47.24426961926951,150,0,0,0,0,0.10796150433616354
125,51.844269619269504,150,0,0,0,0,0.10742169681448273
126,51.21606449106438,150,0,0,0,0,0.10688458833041031
127,35.58038073038071,150,0,0,0,0,0.10635016538875826
128,53.47760295260283,150,0,0,0,0,0.10581841456181447
129,52.77760295260283,150,0,0,0,0,0.1052893224890054
130,52.077602952602824,150,0,0,0,0,0.10476287587656037
131,35.855380730380695,150,0,0,0,0,0.10423906149717757
132,24.646872571872592,150,0,0,0,0,0.10371786618969168
133,53.01093628593617,150,0,0,0,0,0.10319927685874322
134,50.67760295260284,150,0,0,0,0,0.10268328047444951
135,48.999397824397725,150,0,0,0,0,0.10216986407207726
136,49.87760295260284,150,0,0,0,0,0.10165901475171688
137,36.944269619269576,150,0,0,0,0,0.10115071967795829
138,49.352602952602844,150,0,0,0,0,0.10064496607956849
139,52.310936285936165,150,0,0,0,0,0.10014174124917065
140,35.4993978243978,150,0,0,0,0,0.09964103254292479
141,45.21926961926952,150,0,0,0,0,0.09914282738021017
142,34.597299922299904,150,0,0,0,0,0.09864711324330912
143,34.52760295260291,150,0,0,0,0,0.09815387767709258
144,48.92952602952593,150,0,0,0,0,0.09766310828870711
145,53.01093628593617,150,0,0,0,0,0.09717479274726358
146,36.0303807303807,150,0,0,0,0,0.09668891878352726
147,36.91926961926958,150,0,0,0,0,0.09620547418960962
148,32.110936285936276,150,0,0,0,0,0.09572444681866157
149,39.31093628593626,150,0,0,0,0,0.09524582458456826
150,37.44426961926957,150,0,0,0,0,0.09476959546164541
151,34.91926961926959,150,0,0,0,0,0.09429574748433718
152,51.91093628593617,150,0,0,0,0,0.09382426874691549
153,50.7442696192695,150,0,0,0,0,0.09335514740318092
154,52.777602952602834,150,0,0,0,0,0.09288837166616501
155,51.444269619269505,150,0,0,0,0,0.09242392980783419
