episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-128.29999999999984,150,0,0,2,0,0.2
2,-139.99999999999994,150,0,0,2,0,0.199
3,-122.95000000000007,150,0,0,1,2,0.19800500000000001
4,-104.4000000000001,150,0,0,0,3,0.197014975
5,-139.10000000000002,150,0,0,1,8,0.19602990012500002
6,-92.49999999999996,150,0,0,0,1,0.19504975062437502
7,-143.10000000000005,150,0,0,2,2,0.19407450187125314
8,-88.79999999999984,150,0,0,0,0,0.19310412936189686
9,-81.44999999999997,145,1,1,0,4,0.19213860871508737
10,-89.8999999999999,150,0,0,0,0,0.19117791567151193
11,-13.549999999999965,52,1,1,0,2,0.19022202609315436
12,-63.19999999999996,129,1,1,0,2,0.18927091596268858
13,-112.04999999999993,150,0,0,1,1,0.18832456138287512
14,-109.24999999999997,150,0,0,1,0,0.18738293857596075
15,-35.74999999999995,62,1,1,0,9,0.18644602388308096
16,-75.85000000000001,117,1,1,0,12,0.18551379376366556
17,-87.34999999999992,150,0,0,0,0,0.18458622479484724
18,-86.35000000000001,150,0,0,0,1,0.183663293670873
19,-33.29999999999994,86,1,1,0,2,0.18274497720251864
20,-97.04999999999995,150,0,0,0,3,0.18183125231650604
21,-83.94999999999992,150,0,0,0,0,0.18092209605492351
22,-103.64999999999995,150,0,0,1,1,0.1800174855746489
23,-87.65000000000003,150,0,0,0,1,0.17911739814677563
24,-55.44999999999992,89,1,1,1,2,0.17822181115604174
25,-81.09999999999991,150,0,0,0,0,0.17733070210026153
26,-55.799999999999926,137,1,1,0,2,0.17644404858976023
27,-29.84999999999995,82,1,1,0,2,0.17556182834681144
28,-91.8,149,1,1,1,2,0.1746840192050774
29,-42.99999999999993,99,1,1,0,2,0.173810599109052
30,-19.649999999999952,70,1,1,0,2,0.17294154611350673
31,-31.39999999999995,84,1,1,0,2,0.1720768383829392
32,-125.29999999999994,150,0,0,2,0,0.1712164541910245
33,-8.299999999999972,46,1,1,0,3,0.17036037192006936
34,-8.84999999999997,49,1,1,0,2,0.16950857006046902
35,-18.049999999999965,58,1,1,0,2,0.16866102721016668
36,1.7000000000000224,36,1,1,0,1,0.16781772207411585
37,-55.14999999999992,125,1,1,0,2,0.16697863346374528
38,-2.8499999999999766,37,1,1,0,3,0.16614374029642656
39,-32.69999999999997,70,1,1,0,4,0.16531302159494443
40,5.250000000000016,28,1,1,0,1,0.16448645648696972
41,-26.64999999999994,77,1,1,0,2,0.16366402420453488
42,3.8000000000000087,24,1,1,0,2,0.1628457040835122
43,-6.8499999999999694,47,1,1,0,2,0.16203147556309463
44,-9.699999999999985,37,1,1,0,4,0.16122131818527916
45,-23.899999999999977,36,1,1,1,1,0.16041521159435276
46,-86.79999999999995,101,1,1,2,3,0.159613135536381
47,5.150000000000011,26,1,1,0,1,0.15881506985869911
48,-2.2999999999999794,43,1,1,0,1,0.15802099450940563
49,-5.249999999999979,40,1,1,0,2,0.1572308895368586
50,8.600000000000009,20,1,1,0,1,0.1564447350891743
51,10.250000000000009,18,1,1,0,1,0.15566251141372844
52,5.950000000000013,26,1,1,0,1,0.1548841988566598
53,11.700000000000008,16,1,1,0,1,0.1541097778623765
54,8.05000000000001,21,1,1,0,1,0.15333922897306462
55,-49.94999999999997,40,1,1,2,1,0.1525725328281993
56,10.150000000000007,18,1,1,0,1,0.1518096701640583
57,10.55000000000001,18,1,1,0,1,0.151050621813238
58,8.05000000000001,21,1,1,0,1,0.15029536870417182
59,-21.449999999999985,32,1,1,1,1,0.14954389186065095
60,7.650000000000011,23,1,1,0,1,0.1487961724013477
61,-2.899999999999981,36,1,1,0,2,0.14805219153934096
62,6.150000000000011,24,1,1,0,1,0.14731193058164427
63,2.4000000000000083,22,1,1,0,3,0.14657537092873604
64,-22.24999999999998,35,1,1,1,1,0.14584249407409236
65,-23.499999999999986,36,1,1,1,1,0.1451132816037219
66,10.150000000000007,18,1,1,0,1,0.1443877151957033
67,9.350000000000009,19,1,1,0,1,0.14366577661972477
68,-186.44999999999993,150,0,0,4,0,0.14294744773662615
69,-56.89999999999999,50,1,1,2,1,0.14223271049794303
70,-81.6,90,1,1,2,1,0.14152154694545332
71,2.200000000000018,32,1,1,0,1,0.14081393921072605
72,-27.099999999999973,43,1,1,1,1,0.1401098695146724
73,-34.499999999999986,37,1,1,1,5,0.13940932016709906
74,1.70000000000001,26,1,1,0,2,0.13871227356626356
75,9.15000000000001,20,1,1,0,1,0.13801871219843223
76,-18.14999999999998,26,1,1,1,1,0.13732861863744006
77,10.150000000000007,18,1,1,0,1,0.13664197554425286
78,7.600000000000009,19,1,1,0,2,0.1359587656665316
79,-22.649999999999984,34,1,1,1,1,0.13527897183819892
80,10.150000000000007,18,1,1,0,1,0.13460257697900793
81,3.750000000000009,21,1,1,0,3,0.13392956409411289
82,-0.4499999999999833,30,1,1,0,3,0.1332599162736423
83,7.900000000000008,21,1,1,0,1,0.1325936166922741
84,7.750000000000011,22,1,1,0,1,0.13193064860881273
85,-18.04999999999998,26,1,1,1,1,0.13127099536576867
86,9.500000000000009,20,1,1,0,1,0.13061464038893983
87,9.30000000000001,20,1,1,0,1,0.12996156718699514
88,8.700000000000008,21,1,1,0,1,0.12931175935106015
89,8.75000000000001,21,1,1,0,1,0.12866520055430486
90,9.600000000000009,19,1,1,0,1,0.12802187455153333
91,-20.749999999999975,32,1,1,1,1,0.12738176517877567
92,7.800000000000009,21,1,1,0,1,0.1267448563528818
93,9.100000000000009,20,1,1,0,1,0.12611113207111738
94,7.700000000000012,23,1,1,0,1,0.1254805764107618
95,10.150000000000007,18,1,1,0,1,0.12485317352870799
96,-26.59999999999998,38,1,1,1,1,0.12422890766106445
97,8.100000000000012,24,1,1,0,1,0.12360776312275913
98,5.000000000000017,29,1,1,0,1,0.12298972430714533
99,8.750000000000009,21,1,1,0,1,0.1223747756856096
100,8.150000000000011,22,1,1,0,1,0.12176290180718155
101,10.150000000000007,18,1,1,0,1,0.12115408729814564
102,6.200000000000012,24,1,1,0,1,0.12054831686165492
103,8.450000000000012,22,1,1,0,1,0.11994557527734664
104,-17.299999999999986,25,1,1,1,1,0.11934584740095991
105,-70.49999999999997,33,1,1,3,1,0.11874911816395511
106,9.700000000000008,19,1,1,0,1,0.11815537257313534
107,9.40000000000001,20,1,1,0,1,0.11756459571026966
108,5.700000000000008,21,1,1,0,2,0.1169767727317183
109,9.30000000000001,20,1,1,0,1,0.1163918888680597
110,-17.699999999999985,25,1,1,1,1,0.11580992942371941
111,-53.14999999999996,45,1,1,2,1,0.11523087977660082
112,10.150000000000007,18,1,1,0,1,0.11465472537771781
113,-46.749999999999986,34,1,1,2,1,0.11408145175082922
114,-22.499999999999986,32,1,1,1,1,0.11351104449207507
115,8.40000000000001,20,1,1,0,1,0.11294348926961469
116,10.150000000000007,18,1,1,0,1,0.11237877182326661
117,8.80000000000001,21,1,1,0,1,0.11181687796415028
118,9.40000000000001,20,1,1,0,1,0.11125779357432954
119,10.250000000000007,18,1,1,0,1,0.11070150460645789
120,10.150000000000007,18,1,1,0,1,0.1101479970834256
121,7.05000000000001,22,1,1,0,1,0.10959725709800847
122,-18.849999999999984,27,1,1,1,1,0.10904927081251842
123,-50.89999999999998,40,1,1,2,1,0.10850402445845582
124,4.8500000000000085,22,1,1,0,2,0.10796150433616354
125,9.650000000000007,19,1,1,0,1,0.10742169681448273
126,7.85000000000001,22,1,1,0,1,0.10688458833041031
127,8.500000000000009,20,1,1,0,1,0.10635016538875826
128,9.200000000000008,20,1,1,0,1,0.10581841456181447
129,6.550000000000009,20,1,1,0,2,0.1052893224890054
130,-19.599999999999984,30,1,1,1,1,0.10476287587656037
131,8.90000000000001,20,1,1,0,1,0.10423906149717757
132,8.050000000000011,22,1,1,0,1,0.10371786618969168
133,-51.29999999999997,42,1,1,2,1,0.10319927685874322
134,10.150000000000007,18,1,1,0,1,0.10268328047444951
135,9.000000000000009,20,1,1,0,1,0.10216986407207726
136,10.150000000000007,18,1,1,0,1,0.10165901475171688
137,8.600000000000009,20,1,1,0,1,0.10115071967795829
138,9.400000000000007,19,1,1,0,1,0.10064496607956849
139,-21.699999999999978,31,1,1,1,1,0.10014174124917065
140,9.650000000000007,19,1,1,0,1,0.09964103254292479
141,7.500000000000009,19,1,1,0,2,0.09914282738021017
142,10.150000000000007,18,1,1,0,1,0.09864711324330912
143,8.50000000000001,22,1,1,0,1,0.09815387767709258
144,7.95000000000001,22,1,1,0,1,0.09766310828870711
145,7.25000000000001,22,1,1,0,1,0.09717479274726358
146,6.35000000000001,21,1,1,0,2,0.09668891878352726
147,-20.699999999999978,30,1,1,1,1,0.09620547418960962
148,10.150000000000007,18,1,1,0,1,0.09572444681866157
149,10.150000000000007,18,1,1,0,1,0.09524582458456826
150,-21.79999999999998,32,1,1,1,1,0.09476959546164541
151,8.25000000000001,22,1,1,0,1,0.09429574748433718
152,-17.199999999999985,24,1,1,1,1,0.09382426874691549
153,8.550000000000008,20,1,1,0,1,0.09335514740318092
154,10.150000000000007,18,1,1,0,1,0.09288837166616501
155,-22.499999999999986,32,1,1,1,1,0.09242392980783419
156,10.150000000000007,18,1,1,0,1,0.09196181015879502
157,5.350000000000012,26,1,1,0,1,0.09150200110800105
158,-78.99999999999996,49,1,1,3,1,0.09104449110246104
159,-24.09999999999998,36,1,1,1,1,0.09058926864694875
160,8.15000000000001,22,1,1,0,1,0.090136322303714
161,11.700000000000008,16,1,1,0,1,0.08968564069219544
162,-20.29999999999998,29,1,1,1,1,0.08923721248873447
163,9.500000000000009,19,1,1,0,1,0.08879102642629079
164,10.85000000000001,18,1,1,0,1,0.08834707129415934
165,8.050000000000013,23,1,1,0,1,0.08790533593768854
166,-19.04999999999998,28,1,1,1,1,0.0874658092580001
167,11.700000000000008,16,1,1,0,1,0.0870284802117101
168,10.050000000000008,18,1,1,0,1,0.08659333781065155
169,11.700000000000008,16,1,1,0,1,0.0861603711215983
170,9.50000000000001,20,1,1,0,1,0.0857295692659903
171,10.85000000000001,18,1,1,0,1,0.08530092141966035
172,3.7500000000000098,21,1,1,0,3,0.08487441681256205
173,9.40000000000001,20,1,1,0,1,0.08445004472849925
174,9.70000000000001,19,1,1,0,1,0.08402779450485676
175,11.700000000000008,16,1,1,0,1,0.08360765553233247
176,11.700000000000008,16,1,1,0,1,0.0831896172546708
177,-19.39999999999998,28,1,1,1,1,0.08277366916839746
178,10.350000000000009,18,1,1,0,1,0.08235980082255547
179,9.950000000000008,18,1,1,0,1,0.08194800181844268
180,6.300000000000012,24,1,1,0,1,0.08153826180935046
181,11.700000000000008,16,1,1,0,1,0.08113057050030371
182,11.700000000000008,16,1,1,0,1,0.0807249176478022
183,9.30000000000001,20,1,1,0,1,0.08032129305956318
184,-18.699999999999985,28,1,1,1,1,0.07991968659426536
185,10.95000000000001,18,1,1,0,1,0.07952008816129404
186,-48.999999999999986,39,1,1,2,1,0.07912248772048756
187,11.700000000000008,16,1,1,0,1,0.07872687528188513
188,10.85000000000001,18,1,1,0,1,0.0783332409054757
189,5.850000000000008,18,1,1,0,3,0.07794157470094833
190,11.700000000000008,16,1,1,0,1,0.07755186682744358
191,11.700000000000008,16,1,1,0,1,0.07716410749330636
192,11.700000000000008,16,1,1,0,1,0.07677828695583983
193,10.750000000000009,18,1,1,0,1,0.07639439552106063
194,11.700000000000008,16,1,1,0,1,0.07601242354345533
195,11.15000000000001,17,1,1,0,1,0.07563236142573805
196,5.850000000000008,18,1,1,0,3,0.07525419961860937
197,11.700000000000008,16,1,1,0,1,0.07487792862051632
198,10.050000000000008,18,1,1,0,1,0.07450353897741373
199,10.05000000000001,19,1,1,0,1,0.07413102128252666
200,11.700000000000008,16,1,1,0,1,0.07376036617611402
201,5.100000000000009,20,1,1,0,3,0.07339156434523345
202,11.700000000000008,16,1,1,0,1,0.07302460652350727
203,10.150000000000011,19,1,1,0,1,0.07265948349088973
204,11.200000000000008,17,1,1,0,1,0.07229618607343528
205,11.700000000000008,16,1,1,0,1,0.0719347051430681
206,5.850000000000008,18,1,1,0,3,0.07157503161735276
207,-20.39999999999998,24,1,1,1,2,0.071217156459266
208,11.700000000000008,16,1,1,0,1,0.07086107067696967
209,11.050000000000008,17,1,1,0,1,0.07050676532358482
210,10.250000000000009,18,1,1,0,1,0.0701542314969669
211,11.05000000000001,18,1,1,0,1,0.06980346033948207
212,11.700000000000008,16,1,1,0,1,0.06945444303778466
213,11.700000000000008,16,1,1,0,1,0.06910717082259574
214,9.10000000000001,20,1,1,0,1,0.06876163496848275
215,10.050000000000008,18,1,1,0,1,0.06841782679364034
216,11.700000000000008,16,1,1,0,1,0.06807573765967213
217,11.05000000000001,18,1,1,0,1,0.06773535897137377
218,9.15000000000001,19,1,1,0,1,0.0673966821765169
219,11.800000000000008,16,1,1,0,1,0.0670596987656343
220,10.150000000000007,18,1,1,0,1,0.06672440027180614
221,-16.799999999999986,24,1,1,1,1,0.0663907782704471
222,11.700000000000008,16,1,1,0,1,0.06605882437909487
223,11.700000000000008,16,1,1,0,1,0.0657285302571994
224,10.150000000000007,18,1,1,0,1,0.06539988760591339
225,11.700000000000008,16,1,1,0,1,0.06507288816788383
226,10.450000000000008,18,1,1,0,1,0.06474752372704441
227,11.700000000000008,16,1,1,0,1,0.0644237861084092
228,11.700000000000008,16,1,1,0,1,0.06410166717786715
229,11.250000000000009,17,1,1,0,1,0.06378115884197781
230,9.300000000000008,19,1,1,0,1,0.06346225304776792
231,-19.04999999999998,28,1,1,1,1,0.06314494178252908
232,10.95000000000001,18,1,1,0,1,0.06282921707361644
233,11.700000000000008,16,1,1,0,1,0.06251507098824835
234,11.700000000000008,16,1,1,0,1,0.062202495633307105
235,9.950000000000008,18,1,1,0,1,0.06189148315514057
236,9.25000000000001,21,1,1,0,1,0.061582025739364867
237,10.800000000000008,17,1,1,0,1,0.06127411561066804
238,8.00000000000001,23,1,1,0,1,0.0609677450326147
239,11.700000000000008,16,1,1,0,1,0.06066290630745162
240,11.700000000000008,16,1,1,0,1,0.060359591775914365
241,10.65000000000001,18,1,1,0,1,0.06005779381703479
242,11.05000000000001,18,1,1,0,1,0.059757504847949616
243,11.700000000000008,16,1,1,0,1,0.059458717323709866
244,11.700000000000008,16,1,1,0,1,0.059161423737091316
245,11.700000000000008,16,1,1,0,1,0.05886561661840586
246,10.65000000000001,18,1,1,0,1,0.05857128853531383
247,11.700000000000008,16,1,1,0,1,0.05827843209263726
248,9.80000000000001,20,1,1,0,1,0.05798703993217407
249,11.700000000000008,16,1,1,0,1,0.0576971047325132
250,11.700000000000008,16,1,1,0,1,0.05740861920885063
251,11.700000000000008,16,1,1,0,1,0.057121576112806376
252,9.950000000000008,18,1,1,0,1,0.056835968232242344
253,11.250000000000009,17,1,1,0,1,0.05655178839108113
254,11.700000000000008,16,1,1,0,1,0.05626902944912573
255,11.800000000000008,16,1,1,0,1,0.0559876843018801
256,11.050000000000008,17,1,1,0,1,0.055707745880370696
257,11.30000000000001,17,1,1,0,1,0.05542920715096884
258,11.700000000000008,16,1,1,0,1,0.055152061115214
259,11.700000000000008,16,1,1,0,1,0.05487630080963793
260,10.95000000000001,18,1,1,0,1,0.05460191930558974
261,11.700000000000008,16,1,1,0,1,0.05432890970906179
262,10.85000000000001,18,1,1,0,1,0.05405726516051648
263,11.700000000000008,16,1,1,0,1,0.0537869788347139
264,11.700000000000008,16,1,1,0,1,0.053518043940540334
265,8.70000000000001,21,1,1,0,1,0.053250453720837636
266,10.95000000000001,18,1,1,0,1,0.05298420145223345
267,9.750000000000009,21,1,1,0,1,0.05271928044497228
268,11.700000000000008,16,1,1,0,1,0.05245568404274742
269,-14.799999999999986,20,1,1,1,1,0.05219340562253368
270,10.85000000000001,18,1,1,0,1,0.05193243859442102
271,11.700000000000008,16,1,1,0,1,0.05167277640144891
272,10.050000000000008,18,1,1,0,1,0.05141441251944167
273,8.05000000000001,21,1,1,0,1,0.05115734045684446
274,11.000000000000009,17,1,1,0,1,0.050901553754560236
275,-15.649999999999988,22,1,1,1,1,0.05064704598578743
276,11.700000000000008,16,1,1,0,1,0.0503938107558585
277,11.700000000000008,16,1,1,0,1,0.05014184170207921
278,11.250000000000009,17,1,1,0,1,0.04989113249356881
279,11.700000000000008,16,1,1,0,1,0.04964167683110096
280,11.30000000000001,17,1,1,0,1,0.049393468446945456
281,11.700000000000008,16,1,1,0,1,0.04914650110471073
282,11.700000000000008,16,1,1,0,1,0.048900768599187176
