episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-181.0,150,0,0,1,3,0.2
2,-225.0,150,0,0,3,0,0.199
3,-150.0,150,0,0,0,0,0.19800500000000001
4,-150.0,150,0,0,0,0,0.197014975
5,-175.0,150,0,0,1,0,0.19602990012500002
6,-200.0,150,0,0,2,0,0.19504975062437502
7,-206.0,150,0,0,2,3,0.19407450187125314
8,-225.0,150,0,0,3,0,0.19310412936189686
9,-200.0,150,0,0,2,0,0.19213860871508737
10,-179.0,150,0,0,1,2,0.19117791567151193
11,-150.0,150,0,0,0,0,0.19022202609315436
12,-175.0,150,0,0,1,0,0.18927091596268858
13,-179.0,150,0,0,1,2,0.18832456138287512
14,-175.0,150,0,0,1,0,0.18738293857596075
15,-175.0,150,0,0,1,0,0.18644602388308096
16,-175.0,150,0,0,1,0,0.18551379376366556
17,-171.0,121,1,1,2,5,0.18458622479484724
18,-175.0,150,0,0,1,0,0.183663293670873
19,-179.0,150,0,0,1,2,0.18274497720251864
20,-129.0,112,1,1,1,1,0.18183125231650604
21,-233.0,150,0,0,3,4,0.18092209605492351
22,-206.0,150,0,0,2,3,0.1800174855746489
23,-175.0,150,0,0,1,0,0.17911739814677563
24,-177.0,150,0,0,1,1,0.17822181115604174
25,-150.0,150,0,0,0,0,0.17733070210026153
26,-181.0,150,0,0,1,3,0.17644404858976023
27,-200.0,150,0,0,2,0,0.17556182834681144
28,-79.0,83,1,1,0,3,0.1746840192050774
29,-200.0,150,0,0,2,0,0.173810599109052
30,-158.0,127,1,1,1,8,0.17294154611350673
31,-150.0,150,0,0,0,0,0.1720768383829392
32,-65.0,67,1,1,0,4,0.1712164541910245
33,-150.0,150,0,0,0,0,0.17036037192006936
34,-177.0,150,0,0,1,1,0.16950857006046902
35,-150.0,150,0,0,0,0,0.16866102721016668
36,-158.0,150,0,0,0,4,0.16781772207411585
37,-181.0,150,0,0,1,3,0.16697863346374528
38,-150.0,150,0,0,0,0,0.16614374029642656
39,-150.0,150,0,0,0,0,0.16531302159494443
40,-150.0,150,0,0,0,0,0.16448645648696972
