episode,episode_return,episode_length,success,reached_goal,cliff_hits,risky_visits,epsilon
1,-136.64999999999992,150,0,0,2,1,0.2
2,-91.95,150,0,0,0,0,0.199
3,-100.20000000000009,150,0,0,0,0,0.19800500000000001
4,-99.75000000000003,150,0,0,0,2,0.197014975
5,-156.60000000000016,150,0,0,2,9,0.19602990012500002
6,-91.64999999999995,150,0,0,0,0,0.19504975062437502
7,-101.15000000000003,150,0,0,0,4,0.19407450187125314
8,-122.19999999999999,150,0,0,1,2,0.19310412936189686
9,-84.19999999999993,150,0,0,0,0,0.19213860871508737
10,-94.8499999999999,150,0,0,0,1,0.19117791567151193
11,-87.14999999999998,150,0,0,0,1,0.19022202609315436
12,-131.09999999999997,150,0,0,1,6,0.18927091596268858
13,-80.14999999999992,150,0,0,0,0,0.18832456138287512
14,-97.7499999999999,150,0,0,0,4,0.18738293857596075
15,-95.44999999999995,150,0,0,0,3,0.18644602388308096
16,-76.4499999999999,150,0,0,0,0,0.18551379376366556
17,-86.79999999999993,150,0,0,0,0,0.18458622479484724
18,-110.09999999999992,150,0,0,1,1,0.183663293670873
19,-112.39999999999998,150,0,0,1,3,0.18274497720251864
20,-106.49999999999993,150,0,0,1,0,0.18183125231650604
21,-104.00000000000006,150,0,0,1,0,0.18092209605492351
22,-82.19999999999985,150,0,0,0,0,0.1800174855746489
23,-99.29999999999998,150,0,0,0,3,0.17911739814677563
24,-129.5499999999999,150,0,0,2,1,0.17822181115604174
25,-105.40000000000002,150,0,0,1,0,0.17733070210026153
26,-68.69999999999996,94,1,1,0,10,0.17644404858976023
27,-108.7,150,0,0,1,0,0.17556182834681144
28,-98.24999999999994,150,0,0,1,0,0.1746840192050774
29,-55.99999999999997,103,1,1,0,2,0.173810599109052
30,-98.54999999999986,150,0,0,1,0,0.17294154611350673
31,-87.70000000000002,150,0,0,0,1,0.1720768383829392
32,-72.34999999999994,125,1,1,1,1,0.1712164541910245
33,-83.55,101,1,1,2,1,0.17036037192006936
34,-1.8999999999999808,40,1,1,0,1,0.16950857006046902
35,3.350000000000011,28,1,1,0,1,0.16866102721016668
36,9.050000000000013,23,1,1,0,1,0.16781772207411585
37,-89.74999999999999,150,0,0,0,1,0.16697863346374528
38,-31.449999999999918,93,1,1,0,1,0.16614374029642656
39,10.650000000000011,19,1,1,0,1,0.16531302159494443
40,-40.34999999999997,63,1,1,0,10,0.16448645648696972
41,5.650000000000018,30,1,1,0,1,0.16366402420453488
42,3.4500000000000197,34,1,1,0,1,0.1628457040835122
43,6.250000000000018,29,1,1,0,1,0.16203147556309463
44,-12.949999999999964,62,1,1,0,1,0.16122131818527916
45,-93.19999999999995,150,0,0,0,0,0.16041521159435276
46,1.250000000000016,27,1,1,0,3,0.159613135536381
47,8.000000000000018,25,1,1,0,1,0.15881506985869911
48,-27.399999999999956,75,1,1,0,3,0.15802099450940563
49,-23.29999999999997,40,1,1,1,1,0.1572308895368586
50,-145.19999999999993,150,0,0,3,0,0.1564447350891743
51,-90.24999999999982,150,0,0,1,0,0.15566251141372844
52,-103.74999999999989,150,0,0,1,1,0.1548841988566598
53,-50.199999999999925,117,1,1,0,4,0.1541097778623765
54,-144.5999999999999,150,0,0,3,0,0.15333922897306462
55,-95.69999999999985,150,0,0,1,0,0.1525725328281993
56,-50.09999999999994,79,1,1,1,2,0.1518096701640583
57,2.550000000000014,30,1,1,0,1,0.151050621813238
58,6.700000000000015,27,1,1,0,1,0.15029536870417182
59,10.450000000000008,18,1,1,0,1,0.14954389186065095
60,-27.49999999999997,45,1,1,1,1,0.1487961724013477
61,10.85000000000001,19,1,1,0,1,0.14805219153934096
62,11.500000000000009,17,1,1,0,1,0.14731193058164427
63,11.800000000000008,16,1,1,0,1,0.14657537092873604
64,-164.29999999999995,150,0,0,4,1,0.14584249407409236
65,-29.49999999999997,52,1,1,1,1,0.1451132816037219
66,-62.399999999999864,150,0,0,0,0,0.1443877151957033
67,-0.4999999999999787,36,1,1,0,2,0.14366577661972477
68,-94.14999999999982,150,0,0,1,0,0.14294744773662615
69,-83.10000000000001,110,1,1,1,10,0.14223271049794303
70,-63.39999999999995,108,1,1,0,6,0.14152154694545332
71,-2.549999999999983,36,1,1,0,2,0.14081393921072605
72,-33.24999999999997,47,1,1,1,3,0.1401098695146724
73,-73.49999999999994,150,0,0,0,1,0.13940932016709906
74,-12.049999999999965,54,1,1,0,2,0.13871227356626356
75,-15.749999999999954,65,1,1,0,2,0.13801871219843223
76,-2.3499999999999908,32,1,1,0,2,0.13732861863744006
77,-45.14999999999995,107,1,1,0,3,0.13664197554425286
78,-33.69999999999996,82,1,1,0,2,0.1359587656665316
79,-18.84999999999996,65,1,1,0,4,0.13527897183819892
80,-8.199999999999964,50,1,1,0,2,0.13460257697900793
81,5.100000000000014,24,1,1,0,2,0.13392956409411289
82,-6.89999999999997,50,1,1,0,2,0.1332599162736423
83,-12.799999999999958,58,1,1,0,2,0.1325936166922741
84,3.450000000000016,28,1,1,0,2,0.13193064860881273
85,-56.899999999999935,93,1,1,1,3,0.13127099536576867
86,0.3000000000000238,37,1,1,0,2,0.13061464038893983
87,-51.449999999999946,77,1,1,1,4,0.12996156718699514
88,-2.999999999999975,37,1,1,0,3,0.12931175935106015
89,4.900000000000008,19,1,1,0,3,0.12866520055430486
90,5.750000000000014,24,1,1,0,2,0.12802187455153333
91,-9.999999999999954,60,1,1,0,2,0.12738176517877567
92,-10.09999999999997,50,1,1,0,2,0.1267448563528818
93,-2.1999999999999744,41,1,1,0,2,0.12611113207111738
94,-0.349999999999989,24,1,1,0,4,0.1254805764107618
95,4.10000000000001,23,1,1,0,2,0.12485317352870799
96,1.4500000000000224,36,1,1,0,2,0.12422890766106445
97,2.250000000000008,22,1,1,0,3,0.12360776312275913
98,-0.6999999999999815,34,1,1,0,2,0.12298972430714533
99,7.050000000000011,20,1,1,0,2,0.1223747756856096
100,-60.24999999999993,91,1,1,1,5,0.12176290180718155
101,4.300000000000012,24,1,1,0,2,0.12115408729814564
102,-5.149999999999974,48,1,1,0,2,0.12054831686165492
103,7.8500000000000085,18,1,1,0,2,0.11994557527734664
104,-27.399999999999977,34,1,1,1,3,0.11934584740095991
105,3.40000000000001,22,1,1,0,3,0.11874911816395511
106,-35.19999999999996,51,1,1,1,3,0.11815537257313534
107,6.250000000000011,22,1,1,0,2,0.11756459571026966
108,-4.04999999999999,25,1,1,0,5,0.1169767727317183
109,7.8500000000000085,18,1,1,0,2,0.1163918888680597
110,4.350000000000016,27,1,1,0,2,0.11580992942371941
111,7.20000000000001,20,1,1,0,2,0.11523087977660082
112,2.250000000000017,32,1,1,0,2,0.11465472537771781
113,5.750000000000014,24,1,1,0,2,0.11408145175082922
114,-35.599999999999966,54,1,1,1,3,0.11351104449207507
115,-27.84999999999998,34,1,1,1,3,0.11294348926961469
116,5.5500000000000105,22,1,1,0,2,0.11237877182326661
117,4.250000000000011,23,1,1,0,2,0.11181687796415028
118,7.8500000000000085,18,1,1,0,2,0.11125779357432954
119,5.800000000000011,23,1,1,0,2,0.11070150460645789
120,5.100000000000013,25,1,1,0,2,0.1101479970834256
121,4.900000000000008,19,1,1,0,3,0.10959725709800847
122,4.900000000000008,19,1,1,0,3,0.10904927081251842
123,-32.349999999999966,37,1,1,1,4,0.10850402445845582
124,7.200000000000009,19,1,1,0,2,0.10796150433616354
125,6.900000000000009,20,1,1,0,2,0.10742169681448273
126,4.000000000000008,20,1,1,0,3,0.10688458833041031
127,6.600000000000009,20,1,1,0,2,0.10635016538875826
128,6.200000000000009,20,1,1,0,2,0.10581841456181447
129,6.200000000000009,20,1,1,0,2,0.1052893224890054
130,5.85000000000001,21,1,1,0,2,0.10476287587656037
131,3.600000000000011,24,1,1,0,2,0.10423906149717757
132,-26.499999999999986,32,1,1,1,3,0.10371786618969168
133,5.85000000000001,21,1,1,0,2,0.10319927685874322
134,3.4500000000000144,26,1,1,0,2,0.10268328047444951
135,-140.6500000000003,150,0,0,1,13,0.10216986407207726
136,-91.84999999999994,150,0,0,0,2,0.10165901475171688
137,-15.89999999999998,50,1,1,0,2,0.10115071967795829
138,-87.94999999999997,150,0,0,0,0,0.10064496607956849
139,-5.149999999999977,40,1,1,0,2,0.10014174124917065
140,-60.149999999999935,123,1,1,0,2,0.09964103254292479
141,-30.249999999999943,88,1,1,0,2,0.09914282738021017
142,-10.84999999999997,46,1,1,0,3,0.09864711324330912
143,-24.59999999999998,74,1,1,0,2,0.09815387767709258
144,1.2500000000000178,30,1,1,0,2,0.09766310828870711
145,-13.699999999999978,53,1,1,0,2,0.09717479274726358
146,-104.89999999999998,150,0,0,1,2,0.09668891878352726
147,-100.7,107,1,1,2,4,0.09620547418960962
148,-81.54999999999998,123,1,1,1,9,0.09572444681866157
149,-1.649999999999988,32,1,1,0,2,0.09524582458456826
150,-9.049999999999962,50,1,1,0,3,0.09476959546164541
151,5.0000000000000115,23,1,1,0,2,0.09429574748433718
152,-0.0999999999999801,32,1,1,0,3,0.09382426874691549
153,-4.5999999999999694,46,1,1,0,2,0.09335514740318092
154,0.4500000000000153,27,1,1,0,3,0.09288837166616501
155,1.9000000000000146,28,1,1,0,2,0.09242392980783419
156,-49.64999999999996,74,1,1,1,4,0.09196181015879502
157,-33.049999999999955,50,1,1,1,3,0.09150200110800105
158,0.5500000000000238,36,1,1,0,2,0.09104449110246104
